Name,Latitude,Longitude,Description
"The White House",38.8977,-77.0365,"The official residence and workplace of the President of the United States."
"United States Capitol",38.8899,-77.0091,"The home of the United States Congress and the seat of the legislative branch of the U.S. federal government."
"Lincoln Memorial",38.8893,-77.0502,"A national monument built to honor the 16th President of the United States, Abraham Lincoln."
"Washington Monument",38.8895,-77.0353,"An obelisk on the National Mall, built to commemorate George Washington."
"Smithsonian National Museum of Natural History",38.8913,-77.0261,"A natural history museum administered by the Smithsonian Institution."
"Thomas Jefferson Memorial",38.8814,-77.0365,"A presidential memorial dedicated to Thomas Jefferson, the third President of the United States."
"National Gallery of Art",38.8913,-77.0199,"An art museum in Washington, D.C., located on the National Mall."
"Arlington National Cemetery",38.8797,-77.0687,"A military cemetery across the Potomac River from Washington, D.C., in Arlington, Virginia."
"Library of Congress",38.8887,-77.0047,"The research library that officially serves the United States Congress."
"FBI Headquarters",38.8951,-77.0260,"The headquarters of the Federal Bureau of Investigation, located in the J. Edgar Hoover Building."
